City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Tiarei,PF,-17.5333,-149.3333,75.22,75,98,1.03,light rain
333,Kyzyl-Suu,KG,42.3414,78.0056,25.7,63,66,9.08,broken clouds
334,Kichera,RU,55.9375,110.0997,15.28,90,97,1.92,overcast clouds
335,Kandrian,PG,-6.2167,149.55,75.88,89,97,4.43,light rain
336,Ndele,CF,8.4109,20.6473,78.8,33,84,2.26,broken clouds
337,Viline,UA,44.8456,33.6716,50.02,74,80,6.44,broken clouds
338,Ngama,TD,11.7833,17.1667,86.34,19,15,9.28,few clouds
339,San Vicente,AR,-26.6167,-54.1333,76.21,68,100,2.59,overcast clouds
340,Nyurba,RU,63.2842,118.3319,-5.76,98,43,6.02,scattered clouds
341,Santiago De Las Vegas,CU,22.97,-82.3869,85.62,62,40,9.22,scattered clouds
342,Artesia,US,33.8658,-118.0831,70.72,32,0,16.11,clear sky
